"id","text","label","attack_type","risk_level","language","source_type","contains_url","suspicious_keywords","explanation","synthetic_generated"
"35","Merci pour votre achat récent.","legitimate","normal","low","fr","sms","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"36","تم إرسال طلبك بنجاح.","legitimate","normal","low","ar","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"37","Your meeting is scheduled for tomorrow at 10 AM.","legitimate","normal","low","en","sms","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"38","Your Facebook account has been suspended. Verify immediately: https://bishop-williams.org/","phishing","fake_support","critical","en","social_media","1","urgent, security, suspended","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"39","تم تعليق حسابك على Amazon. قم بالتأكيد فوراً: https://hardy.info/","phishing","banking","medium","ar","email","1","verify, click, delivery","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"40","تم تعليق حسابك على Amazon. قم بالتأكيد فوراً: https://wolfe.com/","phishing","crypto_scam","critical","ar","email","1","bitcoin, confirm, password","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"41","تم إيقاف توصيل الطرد الخاص بك. اضغط هنا: http://bell.com/","phishing","delivery","high","ar","sms","1","suspended, delivery, password","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"42","Your meeting is scheduled for tomorrow at 10 AM.","legitimate","normal","low","en","sms","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"43","موعدك غداً على الساعة العاشرة صباحاً.","legitimate","normal","low","ar","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"44","تم إيقاف توصيل الطرد الخاص بك. اضغط هنا: http://oliver-reed.org/","phishing","delivery","medium","ar","sms","1","confirm, suspended, verify","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"45","تم تعليق حسابك على CIH Bank. قم بالتأكيد فوراً: http://singh.com/","phishing","social_media","critical","ar","social_media","1","verify, password, delivery","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"46","Urgent! Confirm your password now to avoid account deletion: https://stephenson.info/","phishing","crypto_scam","high","en","social_media","1","click, confirm, verify","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"47","Votre commande a été expédiée avec succès.","legitimate","normal","low","fr","sms","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"48","Your package delivery failed. Update your address now: http://lowery.com/","phishing","fake_support","high","en","email","1","urgent, confirm, bitcoin","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"49","Vous avez gagné 2 BTC. Réclamez votre récompense ici : https://raymond.com/","phishing","fake_support","critical","fr","url","1","security, urgent, delivery","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"50","تم تعليق حسابك على Amazon. قم بالتأكيد فوراً: https://gordon.com/","phishing","crypto_scam","high","ar","sms","1","bitcoin, password, urgent","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"51","Urgent! Confirm your password now to avoid account deletion: http://mills.com/","phishing","delivery","critical","en","email","1","confirm, bitcoin, suspended","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"52","Your meeting is scheduled for tomorrow at 10 AM.","legitimate","normal","low","en","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"53","Your meeting is scheduled for tomorrow at 10 AM.","legitimate","normal","low","en","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"54","Votre commande a été expédiée avec succès.","legitimate","normal","low","fr","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"55","Votre rendez-vous est prévu demain à 10h.","legitimate","normal","low","fr","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"56","Urgent! Confirm your password now to avoid account deletion: https://costa-day.com/","phishing","credential_theft","medium","en","url","1","confirm, suspended, bitcoin","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"57","Your meeting is scheduled for tomorrow at 10 AM.","legitimate","normal","low","en","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"58","Merci pour votre achat récent.","legitimate","normal","low","fr","sms","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"59","Merci pour votre achat récent.","legitimate","normal","low","fr","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"60","تم إيقاف توصيل الطرد الخاص بك. اضغط هنا: https://skinner.biz/","phishing","crypto_scam","medium","ar","email","1","suspended, password, security","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"61","Votre rendez-vous est prévu demain à 10h.","legitimate","normal","low","fr","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"62","Votre colis est bloqué. Cliquez ici : http://contreras.com/","phishing","job_scam","high","fr","email","1","bitcoin, click, password","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"63","Urgent ! Confirmez votre mot de passe maintenant : http://cervantes-richards.com/","phishing","crypto_scam","high","fr","url","1","verify, confirm, suspended","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"64","You won 2 BTC. Claim your reward here: https://salas.net/","phishing","social_media","critical","en","url","1","confirm, bitcoin, security","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"65","Your package delivery failed. Update your address now: http://salas.com/","phishing","credential_theft","critical","en","sms","1","suspended, bitcoin, security","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"66","Merci pour votre achat récent.","legitimate","normal","low","fr","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"67","تم إيقاف توصيل الطرد الخاص بك. اضغط هنا: http://alexander.info/","phishing","fake_support","high","ar","url","1","delivery, click, suspended","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"68","تم تعليق حسابك على Amazon. قم بالتأكيد فوراً: https://vega-hill.org/","phishing","fake_support","high","ar","social_media","1","verify, click, confirm","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"69","Your Amazon account has been suspended. Verify immediately: https://price.org/","phishing","banking","medium","en","url","1","verify, delivery, click","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"70","موعدك غداً على الساعة العاشرة صباحاً.","legitimate","normal","low","ar","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"71","Merci pour votre achat récent.","legitimate","normal","low","fr","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"72","تم تعليق حسابك على PayPal. قم بالتأكيد فوراً: https://dyer.com/","phishing","job_scam","high","ar","sms","1","password, delivery, urgent","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"73","Your package delivery failed. Update your address now: http://owen.com/","phishing","delivery","critical","en","social_media","1","delivery, bitcoin, security","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"74","Votre rendez-vous est prévu demain à 10h.","legitimate","normal","low","fr","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"75","Merci pour votre achat récent.","legitimate","normal","low","fr","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"76","Votre commande a été expédiée avec succès.","legitimate","normal","low","fr","sms","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"77","Merci pour votre achat récent.","legitimate","normal","low","fr","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"78","Thank you for your recent purchase.","legitimate","normal","low","en","sms","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"79","تحذير عاجل: قم بتأكيد كلمة المرور الخاصة بك الآن: https://hamilton.biz/","phishing","delivery","medium","ar","url","1","password, click, urgent","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"80","Vous avez gagné 2 BTC. Réclamez votre récompense ici : http://thompson-craig.info/","phishing","credential_theft","medium","fr","sms","1","bitcoin, security, delivery","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"81","لقد ربحت 2 بيتكوين. استلم جائزتك هنا: http://cooper.com/","phishing","job_scam","high","ar","email","1","confirm, suspended, bitcoin","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"82","Urgent ! Confirmez votre mot de passe maintenant : http://brown.org/","phishing","fake_support","high","fr","sms","1","suspended, bitcoin, click","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"83","Vous avez gagné 2 BTC. Réclamez votre récompense ici : https://nash.com/","phishing","fake_support","critical","fr","sms","1","delivery, password, suspended","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"84","Votre compte Facebook a été suspendu. Vérifiez immédiatement : https://hancock.com/","phishing","crypto_scam","medium","fr","url","1","password, delivery, verify","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"85","Vous avez gagné 2 BTC. Réclamez votre récompense ici : https://burns.net/","phishing","delivery","high","fr","social_media","1","bitcoin, suspended, security","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"86","Merci pour votre achat récent.","legitimate","normal","low","fr","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"87","تم إيقاف توصيل الطرد الخاص بك. اضغط هنا: http://johnson.com/","phishing","banking","medium","ar","email","1","urgent, security, verify","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"88","Urgent! Confirm your password now to avoid account deletion: https://pace.org/","phishing","delivery","medium","en","url","1","verify, click, delivery","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"89","Votre rendez-vous est prévu demain à 10h.","legitimate","normal","low","fr","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"90","تم إرسال طلبك بنجاح.","legitimate","normal","low","ar","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"91","Thank you for your recent purchase.","legitimate","normal","low","en","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"92","Vous avez gagné 2 BTC. Réclamez votre récompense ici : http://thompson-singleton.net/","phishing","fake_support","high","fr","sms","1","verify, click, urgent","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"93","Votre commande a été expédiée avec succès.","legitimate","normal","low","fr","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"94","موعدك غداً على الساعة العاشرة صباحاً.","legitimate","normal","low","ar","sms","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"95","تم إيقاف توصيل الطرد الخاص بك. اضغط هنا: http://paul-yates.com/","phishing","banking","medium","ar","url","1","delivery, verify, click","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"96","شكراً على عملية الشراء الأخيرة.","legitimate","normal","low","ar","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"97","You won 2 BTC. Claim your reward here: https://robinson.com/","phishing","crypto_scam","critical","en","url","1","delivery, bitcoin, security","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"98","Merci pour votre achat récent.","legitimate","normal","low","fr","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"99","Thank you for your recent purchase.","legitimate","normal","low","en","sms","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"100","Vous avez gagné 2 BTC. Réclamez votre récompense ici : http://simmons.com/","phishing","crypto_scam","high","fr","email","1","delivery, confirm, verify","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"101","Votre colis est bloqué. Cliquez ici : https://beltran.com/","phishing","social_media","high","fr","social_media","1","security, urgent, suspended","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"102","Your meeting is scheduled for tomorrow at 10 AM.","legitimate","normal","low","en","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"103","لقد ربحت 2 بيتكوين. استلم جائزتك هنا: http://fowler.com/","phishing","delivery","critical","ar","url","1","delivery, urgent, security","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"104","Votre colis est bloqué. Cliquez ici : http://adams.com/","phishing","delivery","critical","fr","social_media","1","delivery, confirm, click","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"105","شكراً على عملية الشراء الأخيرة.","legitimate","normal","low","ar","sms","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"106","Merci pour votre achat récent.","legitimate","normal","low","fr","sms","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"107","تم تعليق حسابك على Amazon. قم بالتأكيد فوراً: https://edwards.info/","phishing","social_media","critical","ar","sms","1","click, security, confirm","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"108","تم إيقاف توصيل الطرد الخاص بك. اضغط هنا: https://lopez.biz/","phishing","job_scam","medium","ar","sms","1","suspended, click, password","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"109","Urgent! Confirm your password now to avoid account deletion: http://jones-jacobs.com/","phishing","crypto_scam","high","en","email","1","urgent, suspended, confirm","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"110","شكراً على عملية الشراء الأخيرة.","legitimate","normal","low","ar","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"111","شكراً على عملية الشراء الأخيرة.","legitimate","normal","low","ar","sms","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"112","Votre colis est bloqué. Cliquez ici : https://williams.net/","phishing","banking","high","fr","email","1","verify, bitcoin, click","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"113","تحذير عاجل: قم بتأكيد كلمة المرور الخاصة بك الآن: http://bray-terrell.info/","phishing","banking","medium","ar","social_media","1","verify, click, urgent","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"114","Urgent ! Confirmez votre mot de passe maintenant : http://strong.info/","phishing","crypto_scam","critical","fr","url","1","delivery, security, password","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"115","Merci pour votre achat récent.","legitimate","normal","low","fr","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"116","تم إرسال طلبك بنجاح.","legitimate","normal","low","ar","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"117","Your order has been shipped successfully.","legitimate","normal","low","en","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"118","Urgent! Confirm your password now to avoid account deletion: http://barr-stevens.com/","phishing","delivery","critical","en","email","1","password, urgent, click","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"119","تم تعليق حسابك على Instagram. قم بالتأكيد فوراً: http://lucas.biz/","phishing","social_media","medium","ar","social_media","1","suspended, delivery, urgent","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"120","Votre commande a été expédiée avec succès.","legitimate","normal","low","fr","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"121","Thank you for your recent purchase.","legitimate","normal","low","en","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"122","تحذير عاجل: قم بتأكيد كلمة المرور الخاصة بك الآن: https://mendoza-phillips.com/","phishing","social_media","medium","ar","email","1","password, suspended, delivery","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"123","شكراً على عملية الشراء الأخيرة.","legitimate","normal","low","ar","sms","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"124","لقد ربحت 2 بيتكوين. استلم جائزتك هنا: http://stevens-gilbert.com/","phishing","fake_support","high","ar","url","1","delivery, verify, suspended","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"125","Votre colis est bloqué. Cliquez ici : https://garcia.com/","phishing","social_media","medium","fr","email","1","click, urgent, bitcoin","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"126","Votre commande a été expédiée avec succès.","legitimate","normal","low","fr","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"127","Thank you for your recent purchase.","legitimate","normal","low","en","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"128","Votre rendez-vous est prévu demain à 10h.","legitimate","normal","low","fr","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"129","Votre colis est bloqué. Cliquez ici : http://orozco.biz/","phishing","credential_theft","high","fr","social_media","1","confirm, verify, bitcoin","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"130","Votre colis est bloqué. Cliquez ici : https://smith.com/","phishing","credential_theft","critical","fr","url","1","security, urgent, click","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"131","Vous avez gagné 2 BTC. Réclamez votre récompense ici : https://mcintyre-smith.org/","phishing","banking","critical","fr","email","1","security, delivery, click","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"132","لقد ربحت 2 بيتكوين. استلم جائزتك هنا: http://smith.com/","phishing","crypto_scam","critical","ar","url","1","urgent, click, password","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"133","Vous avez gagné 2 BTC. Réclamez votre récompense ici : https://mcintyre.com/","phishing","fake_support","medium","fr","email","1","click, password, delivery","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"134","تحذير عاجل: قم بتأكيد كلمة المرور الخاصة بك الآن: http://kelly-romero.org/","phishing","banking","medium","ar","url","1","verify, password, click","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"135","Votre commande a été expédiée avec succès.","legitimate","normal","low","fr","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"136","Vous avez gagné 2 BTC. Réclamez votre récompense ici : http://murray.net/","phishing","delivery","critical","fr","sms","1","bitcoin, click, suspended","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"137","You won 2 BTC. Claim your reward here: http://curry-taylor.com/","phishing","banking","high","en","social_media","1","security, suspended, bitcoin","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"138","لقد ربحت 2 بيتكوين. استلم جائزتك هنا: http://howell.com/","phishing","job_scam","medium","ar","url","1","security, delivery, password","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"139","تم إيقاف توصيل الطرد الخاص بك. اضغط هنا: http://blair-carter.com/","phishing","credential_theft","medium","ar","sms","1","bitcoin, click, security","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"140","Thank you for your recent purchase.","legitimate","normal","low","en","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"141","Urgent ! Confirmez votre mot de passe maintenant : http://brown-harper.net/","phishing","fake_support","high","fr","email","1","password, confirm, bitcoin","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"142","Vous avez gagné 2 BTC. Réclamez votre récompense ici : http://lyons-wright.biz/","phishing","crypto_scam","medium","fr","sms","1","bitcoin, password, urgent","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"143","Vous avez gagné 2 BTC. Réclamez votre récompense ici : http://drake.com/","phishing","crypto_scam","critical","fr","email","1","confirm, bitcoin, password","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"144","Votre commande a été expédiée avec succès.","legitimate","normal","low","fr","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"145","Your order has been shipped successfully.","legitimate","normal","low","en","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"146","Your order has been shipped successfully.","legitimate","normal","low","en","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"147","Your Attijariwafa Bank account has been suspended. Verify immediately: https://chandler.info/","phishing","fake_support","high","en","sms","1","suspended, urgent, delivery","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"148","You won 2 BTC. Claim your reward here: https://johnson.org/","phishing","social_media","high","en","sms","1","click, bitcoin, suspended","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"149","Your meeting is scheduled for tomorrow at 10 AM.","legitimate","normal","low","en","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"150","Urgent ! Confirmez votre mot de passe maintenant : http://anderson-hicks.org/","phishing","fake_support","high","fr","sms","1","click, delivery, confirm","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"151","Vous avez gagné 2 BTC. Réclamez votre récompense ici : http://duffy.com/","phishing","banking","high","fr","sms","1","verify, delivery, password","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"152","Votre commande a été expédiée avec succès.","legitimate","normal","low","fr","sms","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"153","Merci pour votre achat récent.","legitimate","normal","low","fr","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"154","Votre rendez-vous est prévu demain à 10h.","legitimate","normal","low","fr","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"155","Votre colis est bloqué. Cliquez ici : https://williams.info/","phishing","social_media","medium","fr","url","1","suspended, urgent, security","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"156","موعدك غداً على الساعة العاشرة صباحاً.","legitimate","normal","low","ar","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"157","Votre rendez-vous est prévu demain à 10h.","legitimate","normal","low","fr","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"158","Your order has been shipped successfully.","legitimate","normal","low","en","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"159","تم إرسال طلبك بنجاح.","legitimate","normal","low","ar","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"160","Your order has been shipped successfully.","legitimate","normal","low","en","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"161","موعدك غداً على الساعة العاشرة صباحاً.","legitimate","normal","low","ar","sms","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"162","Your order has been shipped successfully.","legitimate","normal","low","en","sms","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"163","Thank you for your recent purchase.","legitimate","normal","low","en","sms","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"164","Your meeting is scheduled for tomorrow at 10 AM.","legitimate","normal","low","en","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
